sample_name	sample_accession
15425.N4FC01	ERS17988695
15425.N4FC02	ERS17988696
15425.N1FC03	ERS17988638
15425.N8FC04	ERS17988770
15425.N8FC05	ERS17988771
15425.N8FC06	ERS17988772
15425.N1FCT07	ERS17988645
15425.N1FCT08	ERS17988646
15425.N1FCT09	ERS17988647
15425.N3FCT010	ERS17988688
15425.N3FCT011	ERS17988689
15425.N3FCT012	ERS17988690
15425.N2MC013	ERS17988674
15425.N2MC014	ERS17988675
15425.N5MC015	ERS17988709
15425.N5MC016	ERS17988710
15425.N5MC017	ERS17988711
15425.N6MT018	ERS17988731
15425.N6MT019	ERS17988732
15425.N6MT020	ERS17988733
15425.N7MT021	ERS17988756
15425.N7MT022	ERS17988757
15425.N4FC323	ERS17988705
15425.N4FC324	ERS17988706
15425.N1FC325	ERS17988643
15425.N8FC326	ERS17988786
15425.N8FC327	ERS17988787
15425.N8FC328	ERS17988788
15425.N1FCT329	ERS17988661
15425.N1FCT330	ERS17988662
15425.N1FCT331	ERS17988663
15425.N3FCT332	ERS17988692
15425.N3FCT333	ERS17988693
15425.N3FCT334	ERS17988694
15425.N2MC335	ERS17988684
15425.N2MC336	ERS17988685
15425.N5MC337	ERS17988725
15425.N5MC338	ERS17988726
15425.N5MC339	ERS17988727
15425.N6MT340	ERS17988747
15425.N6MT341	ERS17988748
15425.N6MT342	ERS17988749
15425.N7MT343	ERS17988766
15425.N7MT344	ERS17988767
15425.N4FC745	ERS17988707
15425.N4FC746	ERS17988708
15425.N1FC747	ERS17988644
15425.N8FC748	ERS17988789
15425.N8FC749	ERS17988790
15425.N8FC750	ERS17988791
15425.N1FCT751	ERS17988664
15425.N1FCT752	ERS17988665
15425.N1FCT753	ERS17988666
15425.N7FCT754	ERS17988753
15425.N7FCT755	ERS17988754
15425.N7FCT756	ERS17988755
15425.N2MC757	ERS17988686
15425.N2MC758	ERS17988687
15425.N5MC759	ERS17988728
15425.N5MC760	ERS17988729
15425.N5MC761	ERS17988730
15425.N6MT762	ERS17988750
15425.N6MT763	ERS17988751
15425.N6MT764	ERS17988752
15425.N7MT765	ERS17988768
15425.N7MT766	ERS17988769
15425.N4FC1267	ERS17988697
15425.N4FC1268	ERS17988698
15425.N1FC1269	ERS17988639
15425.N8FC1270	ERS17988773
15425.N8FC1271	ERS17988774
15425.N8FC1272	ERS17988775
15425.N1FCT1273	ERS17988648
15425.N1FCT1274	ERS17988649
15425.N1FCT1275	ERS17988651
15425.N12FCT1276	ERS17988632
15425.N12FCT1277	ERS17988633
15425.N12FCT1278	ERS17988634
15425.N2MC1279	ERS17988676
15425.N2MC1280	ERS17988677
15425.N5MC1281	ERS17988712
15425.N5MC1282	ERS17988713
15425.N5MC1283	ERS17988714
15425.N6MT1284	ERS17988734
15425.N6MT1285	ERS17988735
15425.N6MT1286	ERS17988736
15425.N7MT1287	ERS17988758
15425.N7MT1288	ERS17988759
15425.N4FC1589	ERS17988699
15425.N4FC1590	ERS17988700
15425.N1FC1591	ERS17988640
15425.N8FC1592	ERS17988776
15425.N8FC1593	ERS17988777
15425.N8FC1594	ERS17988778
15425.N1FCT1595	ERS17988652
15425.N1FCT1596	ERS17988653
15425.N1FCT1597	ERS17988654
15425.N15FCT1598	ERS17988636
15425.N15FCT1599	ERS17988637
15425.N15FCT15100	ERS17988635
15425.N2MC15101	ERS17988678
15425.N2MC15102	ERS17988679
15425.N5MC15103	ERS17988716
15425.N5MC15104	ERS17988717
15425.N5MC15105	ERS17988718
15425.N6MT15106	ERS17988737
15425.N6MT15107	ERS17988739
15425.N6MT15108	ERS17988740
15425.N7MT15109	ERS17988760
15425.N7MT15110	ERS17988762
15425.N4FC20111	ERS17988701
15425.N4FC20112	ERS17988702
15425.N1FC20113	ERS17988641
15425.N8FC20114	ERS17988779
15425.N8FC20115	ERS17988780
15425.N8FC20116	ERS17988781
15425.N1FCT20117	ERS17988655
15425.N1FCT20118	ERS17988656
15425.N1FCT20119	ERS17988657
15425.N20FCT20120	ERS17988667
15425.N20FCT20121	ERS17988668
15425.N20FCT20122	ERS17988669
