"","nsubj","ntax","d","include_ttt","ntheta","nobs"
"1",5,25,1,FALSE,25,125
"2",5,25,1,TRUE,28,125
"3",5,25,2,FALSE,49,125
"4",10,25,1,FALSE,25,250
"5",5,25,2,TRUE,52,125
"6",10,25,1,TRUE,28,250
"7",5,25,3,FALSE,72,125
"8",5,25,3,TRUE,75,125
"9",15,25,1,FALSE,25,375
"10",15,25,1,TRUE,28,375
"11",10,25,2,FALSE,49,250
"12",20,25,1,FALSE,25,500
"13",5,50,1,FALSE,50,250
"14",10,25,2,TRUE,52,250
"15",5,50,1,TRUE,53,250
"16",20,25,1,TRUE,28,500
"17",25,25,1,FALSE,25,625
"18",25,25,1,TRUE,28,625
"19",10,25,3,FALSE,72,250
"20",15,25,2,FALSE,49,375
"21",10,25,3,TRUE,75,250
"22",30,25,1,FALSE,25,750
"23",15,25,2,TRUE,52,375
"24",30,25,1,TRUE,28,750
"25",35,25,1,FALSE,25,875
"26",35,25,1,TRUE,28,875
"27",20,25,2,FALSE,49,500
"28",5,50,2,FALSE,99,250
"29",40,25,1,FALSE,25,1000
"30",10,50,1,FALSE,50,500
"31",5,50,2,TRUE,102,250
"32",20,25,2,TRUE,52,500
"33",10,50,1,TRUE,53,500
"34",15,25,3,FALSE,72,375
"35",40,25,1,TRUE,28,1000
"36",15,25,3,TRUE,75,375
"37",5,75,1,FALSE,75,375
"38",5,75,1,TRUE,78,375
"39",25,25,2,FALSE,49,625
"40",25,25,2,TRUE,52,625
"41",20,25,3,FALSE,72,500
"42",30,25,2,FALSE,49,750
"43",5,50,3,FALSE,147,250
"44",20,25,3,TRUE,75,500
"45",5,50,3,TRUE,150,250
"46",15,50,1,FALSE,50,750
"47",30,25,2,TRUE,52,750
"48",15,50,1,TRUE,53,750
"49",35,25,2,FALSE,49,875
"50",25,25,3,FALSE,72,625
"51",35,25,2,TRUE,52,875
"52",25,25,3,TRUE,75,625
"53",40,25,2,FALSE,49,1000
"54",10,50,2,FALSE,99,500
"55",20,50,1,FALSE,50,1000
"56",5,100,1,FALSE,100,500
"57",10,50,2,TRUE,102,500
"58",5,100,1,TRUE,103,500
